"Region","Service","pubDate","TimeZone","TimeZoneOffset","PubDateConverted","StartTimeConverted","EndTimeConverted","IncidentMinutes","description"
"eu-west-1","rds","Thu,  1 Mar 2012 12:36:41 PST","PST","-8","01/03/2012 20:36:41","01/03/2012 19:27:00","01/03/2012 20:14:00","47","Between 11:27 AM PST and 12:14 PM PST a small number of database instances in a single AZ in the EU-WEST-1 region experienced connectivity issues or degraded performance. The issue has been resolved and service is operating normally."
"ap-northeast-1","vpc","Wed,  7 Mar 2012 11:18:00 PST","PST","-8","07/03/2012 19:18:00","07/03/2012 19:00:00","07/03/2012 19:04:00","4","Between 11:00 AM and 11:04 AM PST, some VPC VPN customers in the AP-NORTHEAST-1 (Japan) region experienced elevated packet loss via one of two IPsec tunnels. The packet loss has been resolved and the service is now operating normally."
"ap-northeast-1","cloudwatch","Thu,  8 Mar 2012 13:23:00 PST","PST","-8","08/03/2012 21:23:00",,,,"We are investigating delays in CloudWatch metrics in the AP-NORTHEAST-1 region."
"ap-northeast-1","cloudwatch","Thu,  8 Mar 2012 13:45:00 PST","PST","-8","08/03/2012 21:45:00",,,,"We have identified the root cause of the issue and are working to restore the service. CloudWatch alarms set on delayed metrics may transition into the INSUFFICIENT_DATA state."
"ap-northeast-1","cloudwatch","Thu,  8 Mar 2012 14:11:41 PST","PST","-8","08/03/2012 22:11:41","08/03/2012 20:30:00","","-1057780590","From 12:30 PM PST to 14:05 PM PST, CloudWatch metrics in the AP-NORTHEAST-1 region were delayed. During this time, CloudWatch alarms set on delayed metrics may have transitioned into the INSUFFIENT_DATA state. The issue has been resolved. The service is operating normally."
"us-west-1","s3","Thu,  8 Mar 2012 17:01:28 PST","PST","-8","09/03/2012 01:01:28",,,,"Some requests to S3 in the US-West-1 region are experiencing connectivity issues."
"us-west-1","s3","Thu,  8 Mar 2012 17:24:01 PST","PST","-8","09/03/2012 01:24:01","09/03/2012 00:14:00","09/03/2012 01:00:00","46","Between 4:14 PM and 5:00 PM PST network connectivity was impaired for some requests in the US-WEST-1 Region.  The issue has been resolved and the service is operating normally."
"us-west-1","elasticache","Mon, 12 Mar 2012 13:54:07 PDT","PDT","-7","12/03/2012 20:54:07",,,,"We are currently experiencing increased error rates for ElastiCache APIs in the US-WEST-1 Region. Requests to create and manage Cache Clusters and Cache Nodes may fail. We are working to resolve the issue. "
"us-west-1","elasticache","Mon, 12 Mar 2012 14:11:39 PDT","PDT","-7","12/03/2012 21:11:39",,,,"From 1:35PM PDT to 1:41PM PDT, ElastiCache APIs had increased error rates in the US-WEST-1 Region. The issue has been resolved and the service is operating normally."
"us-east-1","vpc","Thu, 15 Mar 2012 03:56:00 PDT","PDT","-7","15/03/2012 10:56:00","15/03/2012 09:22:00","15/03/2012 09:43:00","21","Between 2:22 AM and 2:43 AM PDT, some instances in Virtual Private Cloud experienced an outage of Domain Name Service (DNS) resolution. This issue is corrected and the service is operating normally."
"ap-northeast-1","sqs","Sun, 18 Mar 2012 13:57:38 PDT","PDT","-7","18/03/2012 20:57:38",,,,"We are investigating elevated error rates for API calls in the AP-SOUTHEAST-1 region."
"ap-northeast-1","sqs","Sun, 18 Mar 2012 14:27:51 PDT","PDT","-7","18/03/2012 21:27:51",,,,"SQS API's experienced elevated error rates between 1:24pm PDT and 1:47pm PDT. The system has recovered and is functioning normally."
"eu-west-1","cloudwatch","Mon, 19 Mar 2012 21:11:00 PDT","PDT","-7","20/03/2012 04:11:00","20/03/2012 01:55:00","20/03/2012 03:20:00","85","From 6:55 PM PDT to 8:20 PM PDT, some CloudWatch metrics in EU-WEST-1 region experienced delays. CloudWatch alarms set on delayed metrics may have transitioned into the INSUFFICIENT_DATA state. The issue has been resolved and the service is operating normally."
"us-west-2","vpc","Sat,  7 Apr 2012 15:29:59 PDT","PDT","-7","07/04/2012 23:29:59",,,,"We are currently investigating increased error rates and latencies for the EC2 APIs in the US-WEST-2 Region."
"us-west-2","emr","Sat,  7 Apr 2012 16:09:46 PDT","PDT","-7","08/04/2012 00:09:46",,,,"We are currently investigating increased latencies launching job flows in the US-WEST-2 Region."
